item,dmarket_price,market_csgo_current,highest_autobuy,average_sell_price,steam_lowest_price,steam_avg_price
SG 553  Ol' Rusty (Field-Tested),$0.02,0.069,0.042,"0.062
Average price",0.08,0.06
Tec-9  Groundwater (Field-Tested),$0.02,0.02,0.008,"0.017
Average price",0.04,0.02
UMP-45  Briefing (Field-Tested),$0.03,0.135,0.108,"0.202
Average price",0.09,0.06
Dual Berettas  Ventilators (Field-Tested),$0.03,0.08,0.056,"0.082
Average price",0.09,0.07
P90  Freight (Well-Worn),$0.03,0.067,0.034,"0.062
Average price",0.08,0.06
Souvenir P250  Drought (Factory New),$0.03,0.103,No data,No data,0.05,0.03
Souvenir P250  Drought (Factory New),$0.03,0.103,No data,No data,0.05,0.03
PP-Bizon  Night Riot (Field-Tested),$0.04,0.068,0.046,"0.06
Average price",0.08,0.06
MP5-SD  Desert Strike (Well-Worn),$0.04,0.07,0.043,"0.078
Average price",0.08,0.06
SG 553  Ol' Rusty (Battle-Scarred),$0.04,0.116,0.042,"0.077
Average price",0.08,0.06
CZ75-Auto  Distressed (Well-Worn),$0.04,0.201,0.052,"0.13
Average price",0.08,0.06
P90  Freight (Well-Worn),$0.04,0.067,0.034,"0.062
Average price",0.08,0.06
AUG  Sweeper (Factory New),$0.04,1,No data,"0.039
1 order",0.07,0.05
MP7  Prey (Field-Tested),$0.03,0.02,No data,"0.039
Average price",0.06,0.04
XM1014  Slipstream (Field-Tested),$0.04,0.178,0.137,"0.241
Average price",0.08,0.07
P90  Freight (Well-Worn),$0.04,0.067,0.034,"0.062
Average price",0.08,0.06
XM1014  Slipstream (Field-Tested),$0.04,0.178,0.137,"0.241
Average price",0.08,0.07
XM1014  Oxide Blaze (Field-Tested),$0.05,0.07,0.046,"0.06
Average price",0.08,0.06
XM1014  Oxide Blaze (Field-Tested),$0.05,0.07,0.046,"0.06
Average price",0.08,0.06
P2000  Urban Hazard (Battle-Scarred),$0.05,0.077,0.05,"0.085
Average price",0.08,0.07
P2000  Urban Hazard (Battle-Scarred),$0.05,0.077,0.05,"0.085
Average price",0.08,0.07
Souvenir P2000  Grassland (Field-Tested),$0.06,0.49,No data,"0.011
1 order",0.09,0.09
Sawed-Off  Forest DDPAT (Factory New),$0.06,0.076,No data,"0.018
1 order",0.09,0.08
PP-Bizon  Night Riot (Well-Worn),$0.06,0.139,0.048,"0.119
Average price",0.08,0.07
Souvenir MAC-10  Urban DDPAT (Field-Tested),$0.06,0.1,0.014,"0.146
Average price",0.10,0.09
Souvenir MAC-10  Urban DDPAT (Field-Tested),$0.06,0.1,0.014,"0.146
Average price",0.10,0.09
Souvenir MAC-10  Urban DDPAT (Field-Tested),$0.06,0.1,0.014,"0.146
Average price",0.10,0.09
Souvenir MAC-10  Urban DDPAT (Field-Tested),$0.06,0.1,0.014,"0.146
Average price",0.10,0.09
PP-Bizon  Night Ops (Well-Worn),$0.05,0.17,0.056,"0.108
Average price",0.10,0.08
P2000  Lifted Spirits (Field-Tested),$0.06,0.318,0.161,"0.574
Average price",0.10,0.08
FAMAS  Decommissioned (Field-Tested),$0.05,0.296,0.235,"0.438
Average price",0.10,0.09
Five-SeveN  Scumbria (Minimal Wear),$0.06,0.1,0.075,"0.107
Average price",0.12,0.11
XM1014  Oxide Blaze (Minimal Wear),$0.05,0.27,0.19,"0.272
Average price",0.11,0.10
PP-Bizon  Candy Apple (Field-Tested),$0.06,0.13,No data,"0.053
1 order",0.11,0.10
XM1014  Oxide Blaze (Minimal Wear),$0.05,0.27,0.19,"0.272
Average price",0.11,0.10
Souvenir MP9  Old Roots (Factory New),$0.07,0.196,No data,"0.093
1 order",0.16,0.16
MAG-7  Popdog (Minimal Wear),$0.08,0.112,No data,"0.032
1 order",0.12,0.11
StatTrak™ XM1014  Oxide Blaze (Field-Tested),$0.08,0.2,0.096,"0.129
Average price",0.12,0.11
StatTrak™ XM1014  Oxide Blaze (Field-Tested),$0.08,0.2,0.096,"0.129
Average price",0.12,0.11
StatTrak™ XM1014  Oxide Blaze (Field-Tested),$0.08,0.2,0.096,"0.129
Average price",0.12,0.11
MP7  Forest DDPAT (Factory New),$0.08,0.936,0.038,"0.236
Average price",0.11,0.09
MP7  Forest DDPAT (Factory New),$0.08,0.936,0.038,"0.236
Average price",0.11,0.09
Sawed-Off  Yorick (Field-Tested),$0.08,0.366,0.216,"0.372
Average price",0.10,0.10
Tec-9  VariCamo (Well-Worn),$0.08,0.25,No data,"0.001
6 orders",0.11,0.07
AUG  Amber Slipstream (Battle-Scarred),$0.08,0.451,No data,"0.201
1 order",0.11,0.09
Tec-9  VariCamo (Well-Worn),$0.08,0.25,No data,"0.001
6 orders",0.11,0.07
Nova  Windblown (Field-Tested),$0.07,0.313,0.213,"0.436
Average price",0.13,0.11
StatTrak™ XM1014  Oxide Blaze (Battle-Scarred),$0.07,0.81,0.069,"0.147
Average price",0.13,0.12
StatTrak™ Sawed-Off  Fubar (Battle-Scarred),$0.07,0.12,0.075,"0.205
Average price",0.13,0.12
P250  Valence (Battle-Scarred),$0.08,0.397,0.279,"0.356
Average price",0.11,0.10
StatTrak™ MP5-SD  Desert Strike (Field-Tested),$0.08,0.4,No data,"0.016
1 order",0.13,0.13
StatTrak™ PP-Bizon  Runic (Field-Tested),$0.08,0.57,0.121,"0.197
Average price",0.13,0.11
StatTrak™ PP-Bizon  Runic (Battle-Scarred),$0.08,1,0.067,"0.277
Average price",0.13,0.11
P90  Grim (Field-Tested),$0.09,0.448,0.391,"0.476
Average price",0.13,0.14
P90  Grim (Field-Tested),$0.10,0.448,0.391,"0.476
Average price",0.13,0.14
MP7  Cirrus (Battle-Scarred),$0.09,0.3,0.256,"0.491
Average price",0.13,0.12
MP7  Cirrus (Battle-Scarred),$0.09,0.3,0.256,"0.491
Average price",0.13,0.12
StatTrak™ MAC-10  Classic Crate (Well-Worn),$0.09,0.276,No data,"0.039
1 order",0.16,0.16
StatTrak™ SG 553  Aloha (Battle-Scarred),$0.09,0.335,0.077,"0.226
Average price",0.13,0.11
MAG-7  Popdog (Minimal Wear),$0.09,0.112,No data,"0.032
1 order",0.12,0.11
FAMAS  Cyanospatter (Minimal Wear),$0.09,0.113,0.08,"0.126
Average price",0.12,0.12
CZ75-Auto  Framework (Minimal Wear),$0.09,0.221,No data,"0.001
12 orders",0.13,0.12
SG 553  Danger Close (Minimal Wear),$0.10,0.333,0.215,"0.333
Average price",0.16,0.15
StatTrak™ G3SG1  Orange Crash (Field-Tested),$0.09,0.13,0.104,"0.225
Average price",0.15,0.14
StatTrak™ G3SG1  Orange Crash (Field-Tested),$0.09,0.13,0.104,"0.225
Average price",0.15,0.14
StatTrak™ G3SG1  Hunter (Field-Tested),$0.09,0.295,0.062,"0.123
Average price",0.14,0.14
StatTrak™ G3SG1  Orange Crash (Field-Tested),$0.09,0.13,0.104,"0.225
Average price",0.15,0.14
R8 Revolver  Night (Battle-Scarred),$0.10,0.234,0.066,"0.164
Average price",0.13,0.12
